trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,inherited_methods.temporal_gradient_ema.learning_rate,inherited_methods.temporal_gradient_ema.normalized_aux_loss_threshold,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
tg00,0.007610350076103445,0.0,0.007610350076103445,1,0.001,0.5,0.6385083713850838,0.6461187214611872,0.007610350076103445
tg01,0.011415525114155223,0.0,0.011415525114155223,1,0.001,0.5,0.6385083713850838,0.649923896499239,0.011415525114155223
tg02,0.0030441400304414,0.0,0.0030441400304414,1,0.001,0.5,0.6385083713850838,0.6415525114155252,0.0030441400304414
tg03,0.0091324200913242,0.0,0.0091324200913242,1,0.001,0.5,0.6385083713850838,0.647640791476408,0.0091324200913242
tg04,0.004566210045662045,0.0,0.004566210045662045,1,0.001,0.5,0.6385083713850838,0.6430745814307458,0.004566210045662045
tg05,0.007610350076103445,0.0,0.007610350076103445,1,0.001,0.5,0.6385083713850838,0.6461187214611872,0.007610350076103445
tg06,0.012937595129375867,0.0,0.012937595129375867,1,0.001,0.5,0.6385083713850838,0.6514459665144596,0.012937595129375867
tg07,0.0060882800608828,0.0,0.0060882800608828,1,0.001,0.5,0.6385083713850838,0.6445966514459666,0.0060882800608828
tg08,0.0053272450532724225,0.0,0.0053272450532724225,1,0.001,0.5,0.6385083713850838,0.6438356164383562,0.0053272450532724225
tg09,0.004566210045662045,0.0,0.004566210045662045,1,0.001,0.5,0.6385083713850838,0.6430745814307458,0.004566210045662045
tg10,0.0,0.0,0.0,0,0.001,0.5,0.6385083713850838,0.6385083713850838,0.0
tg11,0.0030441400304414,0.0,0.0030441400304414,1,0.001,0.5,0.6385083713850838,0.6415525114155252,0.0030441400304414
