trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_batch_size,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
t00,-0.032724505327245135,0.0,-0.032724505327245135,0,0.0001,32,0.6385083713850838,0.6057838660578386,-0.032724505327245135
t01,-0.0273972602739726,0.0,-0.0273972602739726,0,0.0001,64,0.6385083713850838,0.6111111111111112,-0.0273972602739726
t02,-0.030441400304414,0.0,-0.030441400304414,0,0.0001,128,0.6385083713850838,0.6080669710806698,-0.030441400304414
t03,-0.0334855403348554,0.0,-0.0334855403348554,0,0.0003,32,0.6385083713850838,0.6050228310502284,-0.0334855403348554
t04,-0.028919330289193357,0.0,-0.028919330289193357,0,0.0003,64,0.6385083713850838,0.6095890410958904,-0.028919330289193357
t05,-0.030441400304414,0.0,-0.030441400304414,0,0.0003,128,0.6385083713850838,0.6080669710806698,-0.030441400304414
t06,-0.035768645357686535,0.0,-0.035768645357686535,0,0.001,32,0.6385083713850838,0.6027397260273972,-0.035768645357686535
t07,-0.028919330289193357,0.0,-0.028919330289193357,0,0.001,64,0.6385083713850838,0.6095890410958904,-0.028919330289193357
t08,-0.03120243531202438,0.0,-0.03120243531202438,0,0.001,128,0.6385083713850838,0.6073059360730594,-0.03120243531202438
t09,-0.0365296803652968,0.0,-0.0365296803652968,0,0.003,32,0.6385083713850838,0.601978691019787,-0.0365296803652968
t10,-0.030441400304414,0.0,-0.030441400304414,0,0.003,64,0.6385083713850838,0.6080669710806698,-0.030441400304414
t11,-0.028919330289193357,0.0,-0.028919330289193357,0,0.003,128,0.6385083713850838,0.6095890410958904,-0.028919330289193357
