method,family,n_years,mean_accuracy,std_accuracy,worst_accuracy,best_accuracy,delta_vs_frozen
frozen,baseline,5,0.4486461192224064,0.030622727689758884,0.41563491251406937,0.4872611464968153,0.0
metadata_episodic,tta,5,0.46242158768891733,0.0335272318956299,0.4314949350250691,0.5061682242990654,0.013775468466510954
metadata_cumulative,tta,5,0.35320315173977634,0.03867644669774361,0.3141025641025641,0.4235514018691589,-0.09544296748263004
metadata_cumulative_annual_reset,tta,5,0.3836556278595166,0.035741147922858686,0.3352092499744193,0.4235514018691589,-0.06499049136288976
metadata_cumulative_drift_reset,tta,5,0.4277559211240477,0.03652781446088301,0.38330093113680547,0.47514018691588783,-0.02089019809835868
metadata_cumulative_drift_annual_reset,tta,5,0.4322659646902417,0.0335095261393781,0.3887240356083086,0.47514018691588783,-0.01638015453216468
temporal_gradient_ema,tta,5,0.23617328360748777,0.0847333336822514,0.14801864801864803,0.394392523364486,-0.21247283561491861
tent,tta,5,0.23773000757096105,0.06061657272292315,0.1587995337995338,0.32186915887850465,-0.21091611165144533
supervised_reference,oracle_reference,5,0.5819609667768582,0.029767967366126028,0.5367926233954077,0.6287878787878788,0.13331484755445178
