year,method,accuracy,n_samples
1971,temporal_gradient_ema,0.9,40
1972,temporal_gradient_ema,0.8541666666666666,96
1973,temporal_gradient_ema,0.746031746031746,63
1974,temporal_gradient_ema,0.4805194805194805,154
1975,temporal_gradient_ema,0.8963414634146342,164
1976,temporal_gradient_ema,0.8611111111111112,72
1977,temporal_gradient_ema,0.7614678899082569,109
1978,temporal_gradient_ema,0.6382978723404256,47
1979,temporal_gradient_ema,0.6875,128
1980,temporal_gradient_ema,0.8842975206611571,121
1981,temporal_gradient_ema,0.7843137254901961,51
1982,temporal_gradient_ema,0.7272727272727273,99
1983,temporal_gradient_ema,0.8148148148148148,81
1984,temporal_gradient_ema,0.6416666666666667,240
1985,temporal_gradient_ema,0.54,100
1986,temporal_gradient_ema,0.8909090909090909,55
1987,temporal_gradient_ema,0.6239316239316239,117
1988,temporal_gradient_ema,0.5833333333333334,72
1989,temporal_gradient_ema,0.7564102564102564,156
1990,temporal_gradient_ema,0.937888198757764,161
1991,temporal_gradient_ema,0.5232558139534884,86
1992,temporal_gradient_ema,0.7052631578947368,95
1993,temporal_gradient_ema,0.7777777777777778,45
1994,temporal_gradient_ema,0.7663551401869159,107
1995,temporal_gradient_ema,0.890625,128
1996,temporal_gradient_ema,0.9166666666666666,84
1997,temporal_gradient_ema,0.9313725490196079,102
1998,temporal_gradient_ema,0.9448818897637795,127
1999,temporal_gradient_ema,0.803030303030303,132
2000,temporal_gradient_ema,0.7717391304347826,92
2001,temporal_gradient_ema,0.9126984126984127,126
2002,temporal_gradient_ema,0.9027777777777778,144
2003,temporal_gradient_ema,0.927710843373494,83
2004,temporal_gradient_ema,0.7941176470588235,102
2005,temporal_gradient_ema,0.797752808988764,89
2006,temporal_gradient_ema,0.8571428571428571,14
2007,temporal_gradient_ema,0.9387755102040817,49
2008,temporal_gradient_ema,0.6935483870967742,62
2009,temporal_gradient_ema,0.900990099009901,101
2010,temporal_gradient_ema,0.8380952380952381,105
2011,temporal_gradient_ema,0.6666666666666666,18
2012,temporal_gradient_ema,0.6153846153846154,26
2013,temporal_gradient_ema,0.8181818181818182,99
