trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_adwin_delta,inherited_methods.metadata_cumulative_drift_reset.learning_rate,inherited_methods.metadata_cumulative_drift_reset.normalized_aux_loss_threshold,frozen_accuracy_2012,tta_accuracy_2012,delta_accuracy_2012
d00,-0.06469002695417791,0.0,-0.06469002695417791,0,0.01,0.0001,0.5,0.47079964061096136,0.40610961365678344,-0.06469002695417791
d01,-0.022461814914645106,0.0,-0.022461814914645106,0,0.03,0.0001,0.5,0.47079964061096136,0.44833782569631625,-0.022461814914645106
d02,-0.022461814914645106,0.0,-0.022461814914645106,0,0.05,0.0001,0.5,0.47079964061096136,0.44833782569631625,-0.022461814914645106
d03,-0.015274034141958659,0.0,-0.015274034141958659,0,0.1,0.0001,0.5,0.47079964061096136,0.4555256064690027,-0.015274034141958659
d04,-0.015274034141958659,0.0,-0.015274034141958659,0,0.2,0.0001,0.5,0.47079964061096136,0.4555256064690027,-0.015274034141958659
d05,-0.015274034141958659,0.0,-0.015274034141958659,0,0.3,0.0001,0.5,0.47079964061096136,0.4555256064690027,-0.015274034141958659
