year,method,accuracy,n_samples
1971,metadata_cumulative,0.875,40
1972,metadata_cumulative,0.8645833333333334,96
1973,metadata_cumulative,0.873015873015873,63
1974,metadata_cumulative,0.9155844155844156,154
1975,metadata_cumulative,0.823170731707317,164
1976,metadata_cumulative,0.7222222222222222,72
1977,metadata_cumulative,0.6055045871559633,109
1978,metadata_cumulative,0.723404255319149,47
1979,metadata_cumulative,0.8125,128
1980,metadata_cumulative,0.8925619834710744,121
1981,metadata_cumulative,0.8235294117647058,51
1982,metadata_cumulative,0.898989898989899,99
1983,metadata_cumulative,0.7654320987654321,81
1984,metadata_cumulative,0.8333333333333334,240
1985,metadata_cumulative,0.85,100
1986,metadata_cumulative,0.6,55
1987,metadata_cumulative,0.7094017094017094,117
1988,metadata_cumulative,0.7361111111111112,72
1989,metadata_cumulative,0.8076923076923077,156
1990,metadata_cumulative,0.9875776397515528,161
1991,metadata_cumulative,0.813953488372093,86
1992,metadata_cumulative,0.8526315789473684,95
1993,metadata_cumulative,0.9333333333333333,45
1994,metadata_cumulative,0.8878504672897196,107
1995,metadata_cumulative,0.9765625,128
1996,metadata_cumulative,0.9285714285714286,84
1997,metadata_cumulative,0.7549019607843137,102
1998,metadata_cumulative,0.6456692913385826,127
1999,metadata_cumulative,0.8787878787878788,132
2000,metadata_cumulative,0.9456521739130435,92
2001,metadata_cumulative,0.9126984126984127,126
2002,metadata_cumulative,0.9097222222222222,144
2003,metadata_cumulative,0.9518072289156626,83
2004,metadata_cumulative,0.8627450980392157,102
2005,metadata_cumulative,0.8426966292134831,89
2006,metadata_cumulative,0.7857142857142857,14
2007,metadata_cumulative,0.9795918367346939,49
2008,metadata_cumulative,0.9838709677419355,62
2009,metadata_cumulative,0.8613861386138614,101
2010,metadata_cumulative,0.7333333333333333,105
2011,metadata_cumulative,0.5555555555555556,18
2012,metadata_cumulative,0.6923076923076923,26
2013,metadata_cumulative,0.9292929292929293,99
