year,method,accuracy,n_samples
1971,supervised_reference,0.925,40
1972,supervised_reference,0.9375,96
1973,supervised_reference,0.9047619047619048,63
1974,supervised_reference,0.8896103896103896,154
1975,supervised_reference,0.8414634146341463,164
1976,supervised_reference,0.8055555555555556,72
1977,supervised_reference,0.9174311926605505,109
1978,supervised_reference,0.8723404255319149,47
1979,supervised_reference,0.875,128
1980,supervised_reference,0.9256198347107438,121
1981,supervised_reference,0.9607843137254902,51
1982,supervised_reference,0.9191919191919192,99
1983,supervised_reference,0.8641975308641975,81
1984,supervised_reference,0.9166666666666666,240
1985,supervised_reference,0.9,100
1986,supervised_reference,0.9272727272727272,55
1987,supervised_reference,0.9487179487179487,117
1988,supervised_reference,0.9444444444444444,72
1989,supervised_reference,0.9615384615384616,156
1990,supervised_reference,0.9503105590062112,161
1991,supervised_reference,0.9069767441860465,86
1992,supervised_reference,0.968421052631579,95
1993,supervised_reference,0.9333333333333333,45
1994,supervised_reference,0.9813084112149533,107
1995,supervised_reference,0.96875,128
1996,supervised_reference,0.9285714285714286,84
1997,supervised_reference,0.9509803921568627,102
1998,supervised_reference,0.984251968503937,127
1999,supervised_reference,0.946969696969697,132
2000,supervised_reference,0.9565217391304348,92
2001,supervised_reference,0.9444444444444444,126
2002,supervised_reference,0.9791666666666666,144
2003,supervised_reference,0.963855421686747,83
2004,supervised_reference,0.9215686274509803,102
2005,supervised_reference,0.9550561797752809,89
2006,supervised_reference,0.9285714285714286,14
2007,supervised_reference,0.9591836734693877,49
2008,supervised_reference,0.9193548387096774,62
2009,supervised_reference,0.9405940594059405,101
2010,supervised_reference,0.9714285714285714,105
2011,supervised_reference,0.8333333333333334,18
2012,supervised_reference,0.9615384615384616,26
2013,supervised_reference,0.9494949494949495,99
