trial_id,mean_validation_accuracy,param_lr,param_temporal_lr,param_weight_decay,param_shared_hidden_dim,val_accuracy_2012,val_accuracy_2013,val_accuracy_2014
m00,0.7231965015967131,0.0001,3e-05,0.0,512,0.723489932885906,0.7394957983193278,0.7066037735849057
m01,0.7236823563159593,0.0001,0.0001,0.0001,512,0.723489932885906,0.7418967587034814,0.7056603773584905
m02,0.7231965015967131,0.0003,3e-05,0.0,512,0.723489932885906,0.7394957983193278,0.7066037735849057
m03,0.7236823563159593,0.0003,0.0001,0.0,512,0.723489932885906,0.7418967587034814,0.7056603773584905
m04,0.7236823563159593,0.0003,0.0001,0.0001,512,0.723489932885906,0.7418967587034814,0.7056603773584905
m05,0.7188066489100389,0.0003,0.0003,0.0001,512,0.7140939597315437,0.7394957983193278,0.7028301886792453
m06,0.7236823563159593,0.0006,0.0001,0.0,512,0.723489932885906,0.7418967587034814,0.7056603773584905
m07,0.7188066489100389,0.0006,0.0003,0.0001,512,0.7140939597315437,0.7394957983193278,0.7028301886792453
m08,0.7236823563159593,0.001,0.0001,0.0,512,0.723489932885906,0.7418967587034814,0.7056603773584905
m09,0.7188066489100389,0.001,0.0003,0.0001,512,0.7140939597315437,0.7394957983193278,0.7028301886792453
m10,0.7338913126349691,0.0003,0.0001,0.0001,1024,0.7422818791946308,0.7442977190876351,0.7150943396226415
m11,0.7338913126349691,0.0006,0.0001,0.0001,1024,0.7422818791946308,0.7442977190876351,0.7150943396226415
m12,0.7202460140698042,0.0003,0.0003,0.0001,1024,0.7127516778523489,0.7394957983193278,0.7084905660377359
m13,0.7338913126349691,0.0001,0.0001,0.0001,1024,0.7422818791946308,0.7442977190876351,0.7150943396226415
m14,0.727547926857206,0.0003,0.0001,0.0001,256,0.7342281879194631,0.737094837935174,0.7113207547169811
