trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,inherited_methods.temporal_gradient_ema.learning_rate,inherited_methods.temporal_gradient_ema.normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
tg00,0.06024096385542166,0.0,0.06024096385542166,1,0.0001,0.5,0.927710843373494,0.9879518072289156,0.06024096385542166
tg01,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg02,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg03,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg04,0.02409638554216864,0.0,0.02409638554216864,1,0.0001,0.5,0.927710843373494,0.9518072289156626,0.02409638554216864
tg05,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg06,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg07,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg08,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg09,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg10,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
tg11,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
