year,method,accuracy,n_samples
1971,metadata_cumulative_annual_reset,0.9,40
1972,metadata_cumulative_annual_reset,0.8854166666666666,96
1973,metadata_cumulative_annual_reset,0.8095238095238095,63
1974,metadata_cumulative_annual_reset,0.948051948051948,154
1975,metadata_cumulative_annual_reset,0.32926829268292684,164
1976,metadata_cumulative_annual_reset,0.875,72
1977,metadata_cumulative_annual_reset,0.4954128440366973,109
1978,metadata_cumulative_annual_reset,0.8297872340425532,47
1979,metadata_cumulative_annual_reset,0.6796875,128
1980,metadata_cumulative_annual_reset,0.8347107438016529,121
1981,metadata_cumulative_annual_reset,0.7843137254901961,51
1982,metadata_cumulative_annual_reset,0.6060606060606061,99
1983,metadata_cumulative_annual_reset,0.8518518518518519,81
1984,metadata_cumulative_annual_reset,0.6166666666666667,240
1985,metadata_cumulative_annual_reset,0.89,100
1986,metadata_cumulative_annual_reset,0.9636363636363636,55
1987,metadata_cumulative_annual_reset,0.7264957264957265,117
1988,metadata_cumulative_annual_reset,0.5416666666666666,72
1989,metadata_cumulative_annual_reset,0.6794871794871795,156
1990,metadata_cumulative_annual_reset,0.8385093167701864,161
1991,metadata_cumulative_annual_reset,0.8953488372093024,86
1992,metadata_cumulative_annual_reset,0.968421052631579,95
1993,metadata_cumulative_annual_reset,0.9111111111111111,45
1994,metadata_cumulative_annual_reset,0.8037383177570093,107
1995,metadata_cumulative_annual_reset,0.984375,128
1996,metadata_cumulative_annual_reset,0.8690476190476191,84
1997,metadata_cumulative_annual_reset,0.9509803921568627,102
1998,metadata_cumulative_annual_reset,0.9448818897637795,127
1999,metadata_cumulative_annual_reset,0.8181818181818182,132
2000,metadata_cumulative_annual_reset,0.5108695652173914,92
2001,metadata_cumulative_annual_reset,0.9365079365079365,126
2002,metadata_cumulative_annual_reset,0.8055555555555556,144
2003,metadata_cumulative_annual_reset,0.9036144578313253,83
2004,metadata_cumulative_annual_reset,0.9019607843137255,102
2005,metadata_cumulative_annual_reset,0.8876404494382022,89
2006,metadata_cumulative_annual_reset,0.9285714285714286,14
2007,metadata_cumulative_annual_reset,0.7346938775510204,49
2008,metadata_cumulative_annual_reset,0.9354838709677419,62
2009,metadata_cumulative_annual_reset,0.9306930693069307,101
2010,metadata_cumulative_annual_reset,0.8571428571428571,105
2011,metadata_cumulative_annual_reset,0.8333333333333334,18
2012,metadata_cumulative_annual_reset,0.9615384615384616,26
2013,metadata_cumulative_annual_reset,0.9393939393939394,99
