method,family,n_years,mean_accuracy,std_accuracy,worst_accuracy,best_accuracy,delta_vs_frozen
frozen,baseline,3,0.6581450431535399,0.013040937805098227,0.6416382252559727,0.6735218508997429,0.0
metadata_episodic,tta,3,0.655961121862687,0.012945886481901417,0.6393629124004551,0.6709511568123393,-0.002183921290852986
metadata_cumulative,tta,3,0.6554766855843309,0.0142331554105599,0.6353811149032992,0.6665245202558635,-0.0026683575692090233
metadata_cumulative_annual_reset,tta,3,0.6534475237553851,0.02169915445199773,0.6228668941979523,0.6709511568123393,-0.004697519398154881
metadata_cumulative_drift_reset,tta,3,0.6554766855843309,0.0142331554105599,0.6353811149032992,0.6665245202558635,-0.0026683575692090233
metadata_cumulative_drift_annual_reset,tta,3,0.6534475237553851,0.02169915445199773,0.6228668941979523,0.6709511568123393,-0.004697519398154881
temporal_gradient_ema,tta,3,0.6545758589843551,0.016442885037999126,0.6313993174061433,0.6678038379530917,-0.003569184169184836
tent,tta,3,0.6326110189976545,0.020664574281333104,0.6177474402730375,0.6618336886993603,-0.02553402415588546
supervised_reference,oracle_reference,3,0.7327389589154237,0.024737163254335174,0.7110352673492605,0.7673521850899743,0.07459391576188379
