method,family,n_years,mean_accuracy,std_accuracy,worst_accuracy,best_accuracy,delta_vs_frozen
frozen,baseline,43,0.8454728506725251,0.07594968760507373,0.6666666666666666,0.953125,0.0
metadata_episodic,tta,43,0.8374726431185555,0.07952513633248007,0.6111111111111112,0.9444444444444444,-0.008000207553969574
metadata_cumulative,tta,43,0.8230890066943469,0.10380902989626799,0.5867768595041323,0.9603174603174603,-0.022383843978178164
metadata_cumulative_annual_reset,tta,43,0.8208984364293169,0.14660209901369287,0.32926829268292684,0.984375,-0.024574414243208165
metadata_cumulative_drift_reset,tta,43,0.7877049588721442,0.13589885049851474,0.453125,1.0,-0.05776789180038089
metadata_cumulative_drift_annual_reset,tta,43,0.8341446483335406,0.12429126984428862,0.5182926829268293,0.984375,-0.011328202338984461
temporal_gradient_ema,tta,43,0.7838391697359821,0.12370464990791706,0.4805194805194805,0.9448818897637795,-0.06163368093654298
tent,tta,43,0.8823349114635262,0.07778789495548613,0.5458333333333333,0.96875,0.03686206079100107
supervised_reference,oracle_reference,43,0.9288623886411027,0.04008882502950263,0.8055555555555556,0.984251968503937,0.08338953796857762
