year,method,accuracy,n_samples
1930,frozen,0.8709677419354839,31
1931,frozen,0.9722222222222222,36
1932,frozen,0.9387755102040817,49
1933,frozen,0.8181818181818182,55
1934,frozen,0.9242424242424242,66
1935,frozen,0.898989898989899,99
1936,frozen,0.9354838709677419,31
1937,frozen,0.8709677419354839,62
1938,frozen,0.9506172839506173,81
1939,frozen,0.96875,32
1940,frozen,0.9012345679012346,81
1941,frozen,0.9473684210526315,19
1942,frozen,0.9545454545454546,44
1943,frozen,0.9574468085106383,141
1944,frozen,0.9534883720930233,172
1945,frozen,0.9281437125748503,167
1946,frozen,0.9259259259259259,81
1947,frozen,0.9736842105263158,76
1948,frozen,1.0,82
1949,frozen,0.9166666666666666,36
1950,frozen,0.9230769230769231,78
1951,frozen,0.9555555555555556,45
1952,frozen,0.8787878787878788,66
1953,frozen,0.8333333333333334,54
1954,frozen,0.9487179487179487,117
1955,frozen,0.8733333333333333,150
1956,frozen,0.7407407407407407,54
1957,frozen,0.851063829787234,47
1958,frozen,0.8363636363636363,55
1959,frozen,0.9207920792079208,101
1960,frozen,0.8833333333333333,60
1961,frozen,0.8783783783783784,74
1962,frozen,0.9397590361445783,83
1963,frozen,0.9807692307692307,52
1964,frozen,0.9365079365079365,63
1965,frozen,0.9541984732824428,131
1966,frozen,0.9591836734693877,98
1967,frozen,0.9711538461538461,208
1968,frozen,0.9558823529411765,68
1969,frozen,0.9435483870967742,124
1970,frozen,0.9939759036144579,166
