trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
e00,0.012048192771084376,0.0,0.012048192771084376,1,0.0001,0.0,0.9518072289156626,0.963855421686747,0.012048192771084376
e01,0.012048192771084376,0.0,0.012048192771084376,1,0.0001,0.25,0.9518072289156626,0.963855421686747,0.012048192771084376
e02,0.0,0.0,0.0,0,0.0001,0.5,0.9518072289156626,0.9518072289156626,0.0
e03,0.012048192771084376,0.0,0.012048192771084376,1,0.0003,0.0,0.9518072289156626,0.963855421686747,0.012048192771084376
e04,0.024096385542168752,0.0,0.024096385542168752,1,0.0003,0.25,0.9518072289156626,0.9759036144578314,0.024096385542168752
e05,0.012048192771084376,0.0,0.012048192771084376,1,0.0003,0.5,0.9518072289156626,0.963855421686747,0.012048192771084376
e06,-0.012048192771084265,0.0,-0.012048192771084265,0,0.0005,0.0,0.9518072289156626,0.9397590361445783,-0.012048192771084265
e07,0.0,0.0,0.0,0,0.0005,0.25,0.9518072289156626,0.9518072289156626,0.0
e08,0.0,0.0,0.0,0,0.0005,0.5,0.9518072289156626,0.9518072289156626,0.0
e09,-0.18072289156626498,0.0,-0.18072289156626498,0,0.001,0.0,0.9518072289156626,0.7710843373493976,-0.18072289156626498
e10,-0.09638554216867468,0.0,-0.09638554216867468,0,0.001,0.25,0.9518072289156626,0.8554216867469879,-0.09638554216867468
e11,-0.07228915662650603,0.0,-0.07228915662650603,0,0.001,0.5,0.9518072289156626,0.8795180722891566,-0.07228915662650603
