trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
c00,-0.12048192771084332,0.0,-0.12048192771084332,0,0.0001,0.0,0.927710843373494,0.8072289156626506,-0.12048192771084332
c01,0.02409638554216864,0.0,0.02409638554216864,1,0.0001,0.25,0.927710843373494,0.9518072289156626,0.02409638554216864
c02,0.048192771084337394,0.0,0.048192771084337394,1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
c03,-0.3373493975903614,0.0,-0.3373493975903614,0,0.0003,0.0,0.927710843373494,0.5903614457831325,-0.3373493975903614
c04,-0.15662650602409633,0.0,-0.15662650602409633,0,0.0003,0.25,0.927710843373494,0.7710843373493976,-0.15662650602409633
c05,-0.27710843373493976,0.0,-0.27710843373493976,0,0.0003,0.5,0.927710843373494,0.6506024096385542,-0.27710843373493976
c06,-0.6024096385542168,0.0,-0.6024096385542168,0,0.0005,0.0,0.927710843373494,0.3253012048192771,-0.6024096385542168
c07,-0.32530120481927705,0.0,-0.32530120481927705,0,0.0005,0.25,0.927710843373494,0.6024096385542169,-0.32530120481927705
c08,-0.3493975903614458,0.0,-0.3493975903614458,0,0.0005,0.5,0.927710843373494,0.5783132530120482,-0.3493975903614458
c09,-0.37349397590361444,0.0,-0.37349397590361444,0,0.001,0.0,0.927710843373494,0.5542168674698795,-0.37349397590361444
c10,-0.5783132530120482,0.0,-0.5783132530120482,0,0.001,0.25,0.927710843373494,0.3493975903614458,-0.5783132530120482
c11,-0.3855421686746988,0.0,-0.3855421686746988,0,0.001,0.5,0.927710843373494,0.5421686746987951,-0.3855421686746988
