trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_adwin_delta,inherited_methods.metadata_cumulative_drift_reset.learning_rate,inherited_methods.metadata_cumulative_drift_reset.normalized_aux_loss_threshold,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
d00,-0.0060882800608828,0.0,-0.0060882800608828,0,0.01,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
d01,-0.0060882800608828,0.0,-0.0060882800608828,0,0.03,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
d02,-0.0060882800608828,0.0,-0.0060882800608828,0,0.05,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
d03,-0.0060882800608828,0.0,-0.0060882800608828,0,0.1,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
d04,-0.0060882800608828,0.0,-0.0060882800608828,0,0.2,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
d05,-0.0060882800608828,0.0,-0.0060882800608828,0,0.3,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
