year,method,accuracy,n_samples
1971,tent,0.95,40
1972,tent,0.8541666666666666,96
1973,tent,0.873015873015873,63
1974,tent,0.7727272727272727,154
1975,tent,0.7378048780487805,164
1976,tent,0.75,72
1977,tent,0.8532110091743119,109
1978,tent,0.851063829787234,47
1979,tent,0.84375,128
1980,tent,0.8677685950413223,121
1981,tent,0.8627450980392157,51
1982,tent,0.8282828282828283,99
1983,tent,0.8888888888888888,81
1984,tent,0.4875,240
1985,tent,0.89,100
1986,tent,0.8,55
1987,tent,0.905982905982906,117
1988,tent,0.9027777777777778,72
1989,tent,0.75,156
1990,tent,0.84472049689441,161
1991,tent,0.8953488372093024,86
1992,tent,0.9263157894736842,95
1993,tent,0.9333333333333333,45
1994,tent,0.9439252336448598,107
1995,tent,0.9609375,128
1996,tent,0.9642857142857143,84
1997,tent,0.9705882352941176,102
1998,tent,0.952755905511811,127
1999,tent,0.9166666666666666,132
2000,tent,0.9347826086956522,92
2001,tent,0.9761904761904762,126
2002,tent,0.9027777777777778,144
2003,tent,0.8674698795180723,83
2004,tent,0.8921568627450981,102
2005,tent,0.8764044943820225,89
2006,tent,0.7857142857142857,14
2007,tent,0.9591836734693877,49
2008,tent,0.9838709677419355,62
2009,tent,0.9108910891089109,101
2010,tent,0.9428571428571428,105
2011,tent,0.9444444444444444,18
2012,tent,0.9230769230769231,26
2013,tent,0.9494949494949495,99
