trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_adwin_delta,inherited_methods.metadata_cumulative_drift_reset.learning_rate,inherited_methods.metadata_cumulative_drift_reset.normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
d00,0.048192771084337394,0.0,0.048192771084337394,1,0.01,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
d01,0.048192771084337394,0.0,0.048192771084337394,1,0.03,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
d02,0.048192771084337394,0.0,0.048192771084337394,1,0.05,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
d03,0.048192771084337394,0.0,0.048192771084337394,1,0.1,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
d04,0.048192771084337394,0.0,0.048192771084337394,1,0.2,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
d05,0.048192771084337394,0.0,0.048192771084337394,1,0.3,0.0001,0.5,0.927710843373494,0.9759036144578314,0.048192771084337394
