year,method,accuracy,n_samples
1971,metadata_episodic,0.9,40
1972,metadata_episodic,0.8541666666666666,96
1973,metadata_episodic,0.8412698412698413,63
1974,metadata_episodic,0.8116883116883117,154
1975,metadata_episodic,0.8292682926829268,164
1976,metadata_episodic,0.6944444444444444,72
1977,metadata_episodic,0.8073394495412844,109
1978,metadata_episodic,0.8936170212765957,47
1979,metadata_episodic,0.8046875,128
1980,metadata_episodic,0.8099173553719008,121
1981,metadata_episodic,0.8235294117647058,51
1982,metadata_episodic,0.797979797979798,99
1983,metadata_episodic,0.8888888888888888,81
1984,metadata_episodic,0.9041666666666667,240
1985,metadata_episodic,0.88,100
1986,metadata_episodic,0.8181818181818182,55
1987,metadata_episodic,0.8461538461538461,117
1988,metadata_episodic,0.9583333333333334,72
1989,metadata_episodic,0.8269230769230769,156
1990,metadata_episodic,0.9440993788819876,161
1991,metadata_episodic,0.9534883720930233,86
1992,metadata_episodic,0.9052631578947369,95
1993,metadata_episodic,0.9333333333333333,45
1994,metadata_episodic,0.8598130841121495,107
1995,metadata_episodic,0.9609375,128
1996,metadata_episodic,0.9642857142857143,84
1997,metadata_episodic,0.9607843137254902,102
1998,metadata_episodic,0.9448818897637795,127
1999,metadata_episodic,0.9015151515151515,132
2000,metadata_episodic,0.9456521739130435,92
2001,metadata_episodic,0.9682539682539683,126
2002,metadata_episodic,0.9513888888888888,144
2003,metadata_episodic,0.9036144578313253,83
2004,metadata_episodic,0.8529411764705882,102
2005,metadata_episodic,0.8764044943820225,89
2006,metadata_episodic,0.8571428571428571,14
2007,metadata_episodic,0.9387755102040817,49
2008,metadata_episodic,0.9838709677419355,62
2009,metadata_episodic,0.9603960396039604,101
2010,metadata_episodic,0.9333333333333333,105
2011,metadata_episodic,0.8333333333333334,18
2012,metadata_episodic,0.8846153846153846,26
2013,metadata_episodic,0.9393939393939394,99
