year,method,accuracy,n_samples
1971,frozen,0.95,40
1972,frozen,0.8645833333333334,96
1973,frozen,0.873015873015873,63
1974,frozen,0.8441558441558441,154
1975,frozen,0.8414634146341463,164
1976,frozen,0.6805555555555556,72
1977,frozen,0.7889908256880734,109
1978,frozen,0.8723404255319149,47
1979,frozen,0.8125,128
1980,frozen,0.8429752066115702,121
1981,frozen,0.803921568627451,51
1982,frozen,0.7474747474747475,99
1983,frozen,0.9012345679012346,81
1984,frozen,0.9041666666666667,240
1985,frozen,0.91,100
1986,frozen,0.8,55
1987,frozen,0.905982905982906,117
1988,frozen,0.875,72
1989,frozen,0.8846153846153846,156
1990,frozen,0.9254658385093167,161
1991,frozen,0.9418604651162791,86
1992,frozen,0.9157894736842105,95
1993,frozen,0.9555555555555556,45
1994,frozen,0.9252336448598131,107
1995,frozen,0.953125,128
1996,frozen,0.9523809523809523,84
1997,frozen,0.9607843137254902,102
1998,frozen,0.9606299212598425,127
1999,frozen,0.9242424242424242,132
2000,frozen,0.9565217391304348,92
2001,frozen,0.9682539682539683,126
2002,frozen,0.9444444444444444,144
2003,frozen,0.9036144578313253,83
2004,frozen,0.9117647058823529,102
2005,frozen,0.8876404494382022,89
2006,frozen,0.8571428571428571,14
2007,frozen,0.9387755102040817,49
2008,frozen,0.967741935483871,62
2009,frozen,0.9603960396039604,101
2010,frozen,0.9333333333333333,105
2011,frozen,0.8888888888888888,18
2012,frozen,0.8846153846153846,26
2013,frozen,0.9292929292929293,99
