method,family,n_years,mean_accuracy,std_accuracy,worst_accuracy,best_accuracy,delta_vs_frozen
frozen,baseline,3,0.6626703826913113,0.0198230823527023,0.6410693970420933,0.6889460154241646,0.0
metadata_episodic,tta,3,0.6621962378944116,0.020610822248756603,0.6387940841865757,0.6889460154241646,-0.00047414479689966704
metadata_cumulative,tta,3,0.641717200195652,0.0173526526852451,0.6171786120591581,0.6542416452442159,-0.02095318249565925
metadata_cumulative_annual_reset,tta,3,0.6575897982734319,0.018976783365681402,0.636518771331058,0.6825192802056556,-0.005080584417879397
metadata_cumulative_drift_reset,tta,3,0.641717200195652,0.0173526526852451,0.6171786120591581,0.6542416452442159,-0.02095318249565925
metadata_cumulative_drift_annual_reset,tta,3,0.6575897982734319,0.018976783365681402,0.636518771331058,0.6825192802056556,-0.005080584417879397
temporal_gradient_ema,tta,3,0.6614850206990622,0.021888823780248413,0.6353811149032992,0.6889460154241646,-0.0011853619922490566
tent,tta,3,0.6388740294089226,0.016816285631441004,0.6154721274175199,0.6542416452442159,-0.023796353282388716
supervised_reference,oracle_reference,3,0.7283828632391756,0.029651861489881342,0.6980810234541578,0.7686375321336761,0.06571248054786427
