trial_id,mean_validation_accuracy,param_lr,param_temporal_lr,param_weight_decay,param_shared_hidden_dim,val_accuracy_1930,val_accuracy_1931,val_accuracy_1932,val_accuracy_1933,val_accuracy_1934,val_accuracy_1935,val_accuracy_1936,val_accuracy_1937,val_accuracy_1938,val_accuracy_1939,val_accuracy_1940,val_accuracy_1941,val_accuracy_1942,val_accuracy_1943,val_accuracy_1944,val_accuracy_1945,val_accuracy_1946,val_accuracy_1947,val_accuracy_1948,val_accuracy_1949,val_accuracy_1950,val_accuracy_1951,val_accuracy_1952,val_accuracy_1953,val_accuracy_1954,val_accuracy_1955,val_accuracy_1956,val_accuracy_1957,val_accuracy_1958,val_accuracy_1959,val_accuracy_1960,val_accuracy_1961,val_accuracy_1962,val_accuracy_1963,val_accuracy_1964,val_accuracy_1965,val_accuracy_1966,val_accuracy_1967,val_accuracy_1968,val_accuracy_1969
m00,0.9759126378887865,0.0001,3e-05,0.0,512,0.9375,0.9444444444444444,0.92,0.9285714285714286,0.9696969696969697,0.96,0.9375,0.967741935483871,0.9512195121951219,1.0,0.9512195121951219,0.9,1.0,0.971830985915493,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,0.9696969696969697,1.0,0.9655172413793104,0.96,1.0,0.9583333333333334,0.9642857142857143,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.967741935483871
m01,0.9577025785065488,0.0001,0.0001,0.0001,512,0.6875,0.9444444444444444,0.92,0.9642857142857143,0.9393939393939394,0.92,0.875,0.9032258064516129,0.975609756097561,1.0,0.9512195121951219,0.9,0.9545454545454546,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,0.9444444444444444,1.0,1.0,1.0,1.0,0.9482758620689655,0.9333333333333333,1.0,0.9166666666666666,0.9285714285714286,0.9607843137254902,1.0,1.0,0.926829268292683,0.9615384615384616,1.0,0.9846153846153847,0.9795918367346939,1.0,0.9705882352941176,0.967741935483871
m02,0.9759126378887865,0.0003,3e-05,0.0,512,0.9375,0.9444444444444444,0.92,0.9285714285714286,0.9696969696969697,0.96,0.9375,0.967741935483871,0.9512195121951219,1.0,0.9512195121951219,0.9,1.0,0.971830985915493,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,0.9696969696969697,1.0,0.9655172413793104,0.96,1.0,0.9583333333333334,0.9642857142857143,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.967741935483871
m03,0.9577025785065488,0.0003,0.0001,0.0,512,0.6875,0.9444444444444444,0.92,0.9642857142857143,0.9393939393939394,0.92,0.875,0.9032258064516129,0.975609756097561,1.0,0.9512195121951219,0.9,0.9545454545454546,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,0.9444444444444444,1.0,1.0,1.0,1.0,0.9482758620689655,0.9333333333333333,1.0,0.9166666666666666,0.9285714285714286,0.9607843137254902,1.0,1.0,0.926829268292683,0.9615384615384616,1.0,0.9846153846153847,0.9795918367346939,1.0,0.9705882352941176,0.967741935483871
m04,0.9577025785065488,0.0003,0.0001,0.0001,512,0.6875,0.9444444444444444,0.92,0.9642857142857143,0.9393939393939394,0.92,0.875,0.9032258064516129,0.975609756097561,1.0,0.9512195121951219,0.9,0.9545454545454546,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,0.9444444444444444,1.0,1.0,1.0,1.0,0.9482758620689655,0.9333333333333333,1.0,0.9166666666666666,0.9285714285714286,0.9607843137254902,1.0,1.0,0.926829268292683,0.9615384615384616,1.0,0.9846153846153847,0.9795918367346939,1.0,0.9705882352941176,0.967741935483871
m05,0.9695384563190518,0.0003,0.0003,0.0001,512,0.8125,0.8888888888888888,0.96,0.9285714285714286,0.9393939393939394,0.96,0.875,0.967741935483871,0.9512195121951219,1.0,0.9512195121951219,1.0,1.0,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9629629629629629,0.9827586206896551,0.9333333333333333,1.0,1.0,0.9642857142857143,0.9803921568627451,1.0,1.0,0.975609756097561,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.967741935483871
m06,0.9577025785065488,0.0006,0.0001,0.0,512,0.6875,0.9444444444444444,0.92,0.9642857142857143,0.9393939393939394,0.92,0.875,0.9032258064516129,0.975609756097561,1.0,0.9512195121951219,0.9,0.9545454545454546,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,0.9444444444444444,1.0,1.0,1.0,1.0,0.9482758620689655,0.9333333333333333,1.0,0.9166666666666666,0.9285714285714286,0.9607843137254902,1.0,1.0,0.926829268292683,0.9615384615384616,1.0,0.9846153846153847,0.9795918367346939,1.0,0.9705882352941176,0.967741935483871
m07,0.9695384563190518,0.0006,0.0003,0.0001,512,0.8125,0.8888888888888888,0.96,0.9285714285714286,0.9393939393939394,0.96,0.875,0.967741935483871,0.9512195121951219,1.0,0.9512195121951219,1.0,1.0,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9629629629629629,0.9827586206896551,0.9333333333333333,1.0,1.0,0.9642857142857143,0.9803921568627451,1.0,1.0,0.975609756097561,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.967741935483871
m08,0.9577025785065488,0.001,0.0001,0.0,512,0.6875,0.9444444444444444,0.92,0.9642857142857143,0.9393939393939394,0.92,0.875,0.9032258064516129,0.975609756097561,1.0,0.9512195121951219,0.9,0.9545454545454546,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,0.975609756097561,0.9444444444444444,1.0,1.0,1.0,1.0,0.9482758620689655,0.9333333333333333,1.0,0.9166666666666666,0.9285714285714286,0.9607843137254902,1.0,1.0,0.926829268292683,0.9615384615384616,1.0,0.9846153846153847,0.9795918367346939,1.0,0.9705882352941176,0.967741935483871
m09,0.9695384563190518,0.001,0.0003,0.0001,512,0.8125,0.8888888888888888,0.96,0.9285714285714286,0.9393939393939394,0.96,0.875,0.967741935483871,0.9512195121951219,1.0,0.9512195121951219,1.0,1.0,0.9859154929577465,0.9883720930232558,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9629629629629629,0.9827586206896551,0.9333333333333333,1.0,1.0,0.9642857142857143,0.9803921568627451,1.0,1.0,0.975609756097561,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.967741935483871
