method,family,n_years,mean_accuracy,std_accuracy,worst_accuracy,best_accuracy,delta_vs_frozen
frozen,baseline,43,0.8941969895970842,0.06272490721702798,0.6805555555555556,0.9682539682539683,0.0
metadata_episodic,tta,43,0.8871645149662357,0.06271593815724917,0.6944444444444444,0.9838709677419355,-0.00703247463084844
metadata_cumulative,tta,43,0.831122124286987,0.10719107292725476,0.5555555555555556,0.9875776397515528,-0.0630748653100972
metadata_cumulative_annual_reset,tta,43,0.8835213571352859,0.09081216839074918,0.6111111111111112,1.0,-0.010675632461798257
metadata_cumulative_drift_reset,tta,43,0.8351656658942652,0.1398469239106105,0.3888888888888889,0.9920634920634921,-0.05903132370281894
metadata_cumulative_drift_annual_reset,tta,43,0.8876653671796388,0.08147085989006686,0.6111111111111112,1.0,-0.006531622417445315
temporal_gradient_ema,tta,43,0.8206521151430962,0.12755359810005398,0.3888888888888889,0.9937888198757764,-0.07354487445398794
tent,tta,43,0.8797181142084661,0.08797436258810214,0.4875,0.9838709677419355,-0.014478875388618029
supervised_reference,oracle_reference,43,0.9306663803941805,0.050973375695913876,0.7222222222222222,0.98989898989899,0.036469390797096324
