trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
e00,0.0,0.0,0.0,0,0.0001,0.0,0.927710843373494,0.927710843373494,0.0
e01,0.012048192771084376,0.0,0.012048192771084376,1,0.0001,0.25,0.927710843373494,0.9397590361445783,0.012048192771084376
e02,0.012048192771084376,0.0,0.012048192771084376,1,0.0001,0.5,0.927710843373494,0.9397590361445783,0.012048192771084376
e03,-0.02409638554216864,0.0,-0.02409638554216864,0,0.0003,0.0,0.927710843373494,0.9036144578313253,-0.02409638554216864
e04,0.0,0.0,0.0,0,0.0003,0.25,0.927710843373494,0.927710843373494,0.0
e05,0.0,0.0,0.0,0,0.0003,0.5,0.927710843373494,0.927710843373494,0.0
e06,-0.10843373493975905,0.0,-0.10843373493975905,0,0.0005,0.0,0.927710843373494,0.8192771084337349,-0.10843373493975905
e07,-0.06024096385542166,0.0,-0.06024096385542166,0,0.0005,0.25,0.927710843373494,0.8674698795180723,-0.06024096385542166
e08,-0.03614457831325302,0.0,-0.03614457831325302,0,0.0005,0.5,0.927710843373494,0.891566265060241,-0.03614457831325302
e09,-0.2168674698795181,0.0,-0.2168674698795181,0,0.001,0.0,0.927710843373494,0.7108433734939759,-0.2168674698795181
e10,-0.12048192771084332,0.0,-0.12048192771084332,0,0.001,0.25,0.927710843373494,0.8072289156626506,-0.12048192771084332
e11,-0.0843373493975903,0.0,-0.0843373493975903,0,0.001,0.5,0.927710843373494,0.8433734939759037,-0.0843373493975903
