trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_adwin_delta,inherited_methods.metadata_cumulative_drift_reset.learning_rate,inherited_methods.metadata_cumulative_drift_reset.normalized_aux_loss_threshold,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
d00,0.015220700152207,0.0,0.015220700152207,1,0.01,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
d01,0.015220700152207,0.0,0.015220700152207,1,0.03,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
d02,0.015220700152207,0.0,0.015220700152207,1,0.05,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
d03,0.015220700152207,0.0,0.015220700152207,1,0.1,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
d04,0.015220700152207,0.0,0.015220700152207,1,0.2,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
d05,0.015220700152207,0.0,0.015220700152207,1,0.3,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
