trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_batch_size,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
t00,-0.2168674698795181,0.0,-0.2168674698795181,0,0.0001,32,0.927710843373494,0.7108433734939759,-0.2168674698795181
t01,-0.0843373493975903,0.0,-0.0843373493975903,0,0.0001,64,0.927710843373494,0.8433734939759037,-0.0843373493975903
t02,0.012048192771084376,0.0,0.012048192771084376,1,0.0001,128,0.927710843373494,0.9397590361445783,0.012048192771084376
t03,-0.2168674698795181,0.0,-0.2168674698795181,0,0.0003,32,0.927710843373494,0.7108433734939759,-0.2168674698795181
t04,-0.0843373493975903,0.0,-0.0843373493975903,0,0.0003,64,0.927710843373494,0.8433734939759037,-0.0843373493975903
t05,0.012048192771084376,0.0,0.012048192771084376,1,0.0003,128,0.927710843373494,0.9397590361445783,0.012048192771084376
t06,-0.2168674698795181,0.0,-0.2168674698795181,0,0.001,32,0.927710843373494,0.7108433734939759,-0.2168674698795181
t07,-0.0843373493975903,0.0,-0.0843373493975903,0,0.001,64,0.927710843373494,0.8433734939759037,-0.0843373493975903
t08,0.012048192771084376,0.0,0.012048192771084376,1,0.001,128,0.927710843373494,0.9397590361445783,0.012048192771084376
t09,-0.2168674698795181,0.0,-0.2168674698795181,0,0.003,32,0.927710843373494,0.7108433734939759,-0.2168674698795181
t10,-0.0843373493975903,0.0,-0.0843373493975903,0,0.003,64,0.927710843373494,0.8433734939759037,-0.0843373493975903
t11,0.012048192771084376,0.0,0.012048192771084376,1,0.003,128,0.927710843373494,0.9397590361445783,0.012048192771084376
