trial_id,mean_validation_accuracy,param_lr,param_temporal_lr,param_weight_decay,param_shared_hidden_dim,val_accuracy_2012,val_accuracy_2013,val_accuracy_2014
m00,0.7246662093987906,0.0001,3e-05,0.0,512,0.7181208053691275,0.7322929171668667,0.7235849056603774
m01,0.7222758826209982,0.0001,0.0001,0.0001,512,0.7127516778523489,0.737094837935174,0.7169811320754716
m02,0.7246662093987906,0.0003,3e-05,0.0,512,0.7181208053691275,0.7322929171668667,0.7235849056603774
m03,0.7222758826209982,0.0003,0.0001,0.0,512,0.7127516778523489,0.737094837935174,0.7169811320754716
m04,0.7222758826209982,0.0003,0.0001,0.0001,512,0.7127516778523489,0.737094837935174,0.7169811320754716
m05,0.7233176365392301,0.0003,0.0003,0.0001,512,0.7033557046979866,0.7382953181272509,0.7283018867924528
m06,0.7222758826209982,0.0006,0.0001,0.0,512,0.7127516778523489,0.737094837935174,0.7169811320754716
m07,0.7233176365392301,0.0006,0.0003,0.0001,512,0.7033557046979866,0.7382953181272509,0.7283018867924528
m08,0.7222758826209982,0.001,0.0001,0.0,512,0.7127516778523489,0.737094837935174,0.7169811320754716
m09,0.7233176365392301,0.001,0.0003,0.0001,512,0.7033557046979866,0.7382953181272509,0.7283018867924528
m10,0.7249705605934915,0.0003,0.0001,0.0001,1024,0.7194630872483222,0.7346938775510204,0.720754716981132
m11,0.7249705605934915,0.0006,0.0001,0.0001,1024,0.7194630872483222,0.7346938775510204,0.720754716981132
m12,0.7056643652775787,0.0003,0.0003,0.0001,1024,0.6939597315436241,0.7154861944777912,0.7075471698113207
m13,0.7249705605934915,0.0001,0.0001,0.0001,1024,0.7194630872483222,0.7346938775510204,0.720754716981132
m14,0.7186554880278058,0.0003,0.0001,0.0001,256,0.7114093959731543,0.7322929171668667,0.7122641509433962
