year,method,accuracy,n_samples
1971,metadata_cumulative_drift_reset,0.875,40
1972,metadata_cumulative_drift_reset,0.8645833333333334,96
1973,metadata_cumulative_drift_reset,0.873015873015873,63
1974,metadata_cumulative_drift_reset,0.9155844155844156,154
1975,metadata_cumulative_drift_reset,0.823170731707317,164
1976,metadata_cumulative_drift_reset,0.7222222222222222,72
1977,metadata_cumulative_drift_reset,0.6422018348623854,109
1978,metadata_cumulative_drift_reset,0.8723404255319149,47
1979,metadata_cumulative_drift_reset,0.9296875,128
1980,metadata_cumulative_drift_reset,0.8677685950413223,121
1981,metadata_cumulative_drift_reset,0.7254901960784313,51
1982,metadata_cumulative_drift_reset,0.8181818181818182,99
1983,metadata_cumulative_drift_reset,0.7283950617283951,81
1984,metadata_cumulative_drift_reset,0.7666666666666667,240
1985,metadata_cumulative_drift_reset,0.7,100
1986,metadata_cumulative_drift_reset,0.6909090909090909,55
1987,metadata_cumulative_drift_reset,0.7606837606837606,117
1988,metadata_cumulative_drift_reset,0.5416666666666666,72
1989,metadata_cumulative_drift_reset,0.9294871794871795,156
1990,metadata_cumulative_drift_reset,0.9751552795031055,161
1991,metadata_cumulative_drift_reset,0.7906976744186046,86
1992,metadata_cumulative_drift_reset,0.8947368421052632,95
1993,metadata_cumulative_drift_reset,0.9555555555555556,45
1994,metadata_cumulative_drift_reset,0.8691588785046729,107
1995,metadata_cumulative_drift_reset,0.9609375,128
1996,metadata_cumulative_drift_reset,0.9285714285714286,84
1997,metadata_cumulative_drift_reset,0.9117647058823529,102
1998,metadata_cumulative_drift_reset,0.9291338582677166,127
1999,metadata_cumulative_drift_reset,0.9393939393939394,132
2000,metadata_cumulative_drift_reset,0.967391304347826,92
2001,metadata_cumulative_drift_reset,0.9920634920634921,126
2002,metadata_cumulative_drift_reset,0.9375,144
2003,metadata_cumulative_drift_reset,0.8433734939759037,83
2004,metadata_cumulative_drift_reset,0.9215686274509803,102
2005,metadata_cumulative_drift_reset,0.8876404494382022,89
2006,metadata_cumulative_drift_reset,0.8571428571428571,14
2007,metadata_cumulative_drift_reset,0.9183673469387755,49
2008,metadata_cumulative_drift_reset,0.9838709677419355,62
2009,metadata_cumulative_drift_reset,0.9702970297029703,101
2010,metadata_cumulative_drift_reset,0.49523809523809526,105
2011,metadata_cumulative_drift_reset,0.3888888888888889,18
2012,metadata_cumulative_drift_reset,0.5769230769230769,26
2013,metadata_cumulative_drift_reset,0.9696969696969697,99
